Employee_ID,Department,Employee_Level,Expense_Type,Expense_Amount,Approved_Amount,Submission_Delay_Days,Employee_Rating,Years_With_Company,Has_Receipt,Country,Is_Fraudulent,Claim_Difference,Approval_Ratio
E0086,IT,Junior,Food,1102.82,1065.31,15,2.8,0,1,UK,0,37.51,0.97
E0087,Sales,Junior,Stay,677.64,623.58,4,3.0,4,1,India,0,54.06,0.92
E0088,Sales,Mid,Travel,962.25,866.37,21,3.1,10,1,USA,1,95.88,0.9
E0089,Operations,Senior,Travel,657.71,553.38,12,2.8,2,1,UK,0,104.33,0.84
E0090,HR,Junior,Supplies,1160.34,812.87,27,4.0,4,1,Singapore,1,347.47,0.7
E0091,Finance,Senior,Food,408.93,328.03,15,2.1,8,1,India,0,80.9,0.8
E0092,Sales,Junior,Food,1066.1,1006.35,14,3.0,10,1,UK,1,59.75,0.94
E0093,Sales,Mid,Stay,1096.43,895.18,4,2.8,13,1,India,1,201.25,0.82
E0094,HR,Executive,Food,1934.39,1681.27,20,4.3,14,1,UK,0,253.12,0.87
E0095,Sales,Junior,Travel,298.22,227.07,29,2.4,0,1,USA,1,71.15,0.76
E0096,HR,Mid,Food,2062.3,2010.25,22,4.8,0,1,India,1,52.05,0.97
E0097,HR,Junior,Food,1302.67,1272.65,5,2.5,8,1,UK,0,30.02,0.98
E0098,IT,Junior,Client Entertainment,1730.93,1287.5,28,3.1,2,0,India,1,443.43,0.74
E0099,Finance,Junior,Travel,1362.11,1249.39,12,2.6,11,1,Singapore,1,112.72,0.92
E0100,Finance,Junior,Food,622.58,449.86,15,2.9,14,1,India,0,172.72,0.72
E0101,Finance,Mid,Food,1263.14,1111.01,29,4.3,9,1,UK,0,152.13,0.88
E0102,Sales,Mid,Supplies,733.74,552.94,9,3.4,4,1,UAE,0,180.8,0.75
E0103,IT,Mid,Food,964.74,717.49,26,2.5,8,1,India,1,247.25,0.74
E0104,HR,Junior,Food,530.13,371.74,1,2.1,10,1,USA,0,158.39,0.7
E0105,Operations,Junior,Client Entertainment,728.52,715.59,12,2.7,4,1,USA,0,12.93,0.98
E0106,IT,Mid,Travel,1358.79,1289.19,16,4.8,11,1,India,0,69.6,0.95
E0107,IT,Executive,Stay,1175.18,849.94,0,4.5,13,1,USA,0,325.24,0.72
E0108,Sales,Junior,Travel,1409.69,1240.26,3,3.3,11,0,UK,1,169.43,0.88
E0109,IT,Senior,Supplies,440.88,339.42,17,3.4,2,1,UAE,0,101.46,0.77
E0110,Finance,Mid,Travel,251.82,196.22,5,4.7,8,1,Singapore,0,55.6,0.78
E0111,IT,Mid,Food,1440.69,1386.3,27,3.8,11,1,USA,1,54.39,0.96
E0112,Finance,Mid,Supplies,1411.07,1036.14,11,4.6,6,1,UK,0,374.93,0.73
E0113,Operations,Junior,Travel,1084.61,954.95,24,3.5,11,1,Singapore,1,129.66,0.88
E0114,Sales,Junior,Supplies,1167.69,957.95,25,2.6,11,1,USA,1,209.74,0.82
E0115,Sales,Mid,Stay,1346.02,1019.26,26,4.2,6,1,India,0,326.76,0.76
E0116,Operations,Junior,Travel,1072.61,896.25,29,3.6,13,1,USA,1,176.36,0.84
E0117,Sales,Executive,Food,1214.67,1192.98,25,4.0,7,1,Singapore,1,21.69,0.98
E0118,Finance,Mid,Supplies,1325.93,1239.06,23,2.5,10,0,USA,1,86.87,0.93
E0119,Operations,Junior,Client Entertainment,962.59,711.97,19,3.9,4,0,UK,0,250.62,0.74
E0120,HR,Senior,Supplies,861.76,822.84,12,3.1,1,1,India,0,38.92,0.95
E0121,Sales,Junior,Client Entertainment,1152.82,1131.19,27,3.0,10,1,UAE,0,21.63,0.98
E0122,Operations,Mid,Food,1905.85,1492.45,1,4.0,8,1,USA,0,413.4,0.78
E0123,IT,Mid,Stay,660.93,528.76,16,3.8,2,1,UK,0,132.17,0.8
E0124,Finance,Executive,Client Entertainment,827.7,610.76,22,3.9,10,1,India,0,216.94,0.74
E0125,IT,Senior,Stay,297.44,238.98,9,4.9,13,1,India,0,58.46,0.8
E0126,IT,Mid,Supplies,1173.92,1058.81,18,4.1,1,1,UK,0,115.11,0.9
E0127,Sales,Mid,Food,788.03,615.96,29,3.9,9,1,UAE,1,172.07,0.78
E0128,Operations,Executive,Client Entertainment,439.87,308.81,21,3.8,9,1,India,0,131.06,0.7
E0129,Finance,Junior,Supplies,974.56,781.17,4,3.2,4,0,India,0,193.39,0.8
E0130,HR,Junior,Travel,1597.85,1335.73,20,4.5,7,1,India,0,262.12,0.84
E0131,IT,Junior,Supplies,859.19,747.41,11,3.1,2,1,India,0,111.78,0.87
E0132,IT,Junior,Stay,895.79,810.83,17,4.1,5,1,India,0,84.96,0.91
E0133,Finance,Mid,Food,1582.28,1136.93,29,2.9,8,1,UK,1,445.35,0.72
E0134,IT,Mid,Food,998.0,839.24,8,2.4,1,1,UAE,0,158.76,0.84
E0135,Operations,Mid,Supplies,516.94,403.17,10,2.4,14,1,India,0,113.77,0.78
E0136,IT,Junior,Travel,1275.6,1255.69,3,3.9,7,1,USA,1,19.91,0.98
E0137,HR,Senior,Stay,1449.84,1171.42,9,3.0,9,1,India,0,278.42,0.81
E0138,Sales,Junior,Supplies,919.85,671.52,0,2.8,6,1,India,1,248.33,0.73
E0139,IT,Mid,Supplies,1052.2,749.64,1,3.8,2,1,India,0,302.56,0.71
E0140,Operations,Mid,Food,475.52,370.73,8,2.1,0,1,USA,0,104.79,0.78
E0141,Operations,Junior,Stay,651.77,491.21,22,2.7,5,1,India,1,160.56,0.75
E0142,IT,Junior,Travel,866.78,775.72,25,3.0,1,1,USA,1,91.06,0.89
E0143,HR,Junior,Food,1030.77,983.45,17,4.1,2,1,India,0,47.32,0.95
E0144,IT,Senior,Supplies,752.1,596.99,15,3.6,11,1,India,0,155.11,0.79
E0145,IT,Executive,Food,851.69,743.81,22,4.6,13,1,India,0,107.88,0.87
E0146,Finance,Mid,Food,950.47,873.57,13,3.0,14,0,Singapore,0,76.9,0.92
E0147,Sales,Junior,Client Entertainment,600.79,492.38,3,2.9,4,0,UK,1,108.41,0.82
E0148,HR,Mid,Food,892.48,642.49,25,2.1,13,1,Singapore,0,249.99,0.72
E0149,Finance,Senior,Food,1462.38,1124.21,1,4.9,10,1,India,0,338.17,0.77
E0150,IT,Senior,Stay,761.59,734.87,11,3.5,7,1,India,0,26.72,0.96
E0151,Operations,Junior,Food,639.63,605.95,19,3.5,1,1,India,1,33.68,0.95
E0152,IT,Junior,Travel,1834.05,1331.45,4,4.8,5,0,India,0,502.6,0.73
E0153,Finance,Senior,Supplies,1090.24,836.42,28,2.9,0,1,UK,1,253.82,0.77
E0154,HR,Mid,Stay,690.86,643.02,29,3.0,6,1,India,0,47.84,0.93
E0155,Operations,Junior,Food,1257.4,1063.47,3,4.0,3,1,India,0,193.93,0.85
E0156,IT,Junior,Travel,1102.44,1023.06,14,4.4,0,1,USA,1,79.38,0.93
E0157,Sales,Mid,Supplies,771.93,589.23,2,4.1,8,1,USA,1,182.7,0.76
E0158,Sales,Senior,Stay,980.42,966.51,21,4.4,8,1,UAE,1,13.91,0.99
E0159,IT,Executive,Travel,883.42,826.07,16,3.7,10,0,India,0,57.35,0.94
E0160,Sales,Mid,Food,1396.03,1059.92,7,4.6,2,1,USA,0,336.11,0.76
E0161,IT,Mid,Client Entertainment,1272.54,1103.97,11,3.7,5,1,India,0,168.57,0.87
E0162,Sales,Junior,Client Entertainment,142.82,104.82,20,2.7,6,1,UAE,0,38.0,0.73
E0163,Sales,Mid,Stay,1761.16,1423.78,7,3.6,12,0,USA,1,337.38,0.81
E0164,HR,Mid,Travel,884.67,794.34,25,4.1,14,1,USA,0,90.33,0.9
E0165,Finance,Mid,Supplies,1688.95,1349.53,19,4.0,3,1,India,0,339.42,0.8
E0166,Sales,Mid,Travel,1286.42,1153.95,19,2.7,5,1,UK,0,132.47,0.9
E0167,IT,Junior,Client Entertainment,1099.29,850.23,4,2.1,8,1,India,0,249.06,0.77
E0168,Finance,Junior,Stay,962.33,881.85,20,2.8,13,1,USA,0,80.48,0.92
E0169,Finance,Junior,Food,2103.51,1699.38,26,5.0,14,1,Singapore,1,404.13,0.81
E0170,HR,Junior,Travel,891.34,835.31,5,2.6,9,1,UAE,0,56.03,0.94
E0171,Sales,Junior,Client Entertainment,731.47,542.02,4,3.4,5,1,USA,1,189.45,0.74
E0172,Finance,Executive,Supplies,767.48,620.58,20,3.9,6,1,Singapore,0,146.9,0.81
E0173,HR,Mid,Stay,1000.42,839.54,28,4.6,5,1,India,0,160.88,0.84
E0174,IT,Mid,Food,999.73,826.93,7,4.3,6,1,Singapore,0,172.8,0.83
E0175,Sales,Senior,Travel,1401.61,1163.24,21,4.7,0,1,USA,0,238.37,0.83
E0176,Finance,Executive,Supplies,1303.3,1086.22,17,3.8,5,1,USA,0,217.08,0.83
E0177,Sales,Mid,Food,1303.8,1299.42,3,4.6,11,1,Singapore,0,4.38,1.0
E0178,IT,Senior,Client Entertainment,908.7,688.75,3,2.8,8,1,Singapore,0,219.95,0.76
E0179,Operations,Junior,Client Entertainment,1270.61,1182.43,4,3.3,10,1,India,0,88.18,0.93
E0180,Finance,Junior,Supplies,1312.52,1136.03,14,4.5,2,1,UK,0,176.49,0.87
E0181,IT,Mid,Client Entertainment,968.27,797.94,5,3.0,13,1,India,0,170.33,0.82
E0182,Finance,Mid,Stay,1111.68,989.46,26,4.6,5,1,Singapore,0,122.22,0.89
E0183,Operations,Mid,Supplies,1312.01,1254.36,20,3.1,3,1,UK,0,57.65,0.96
E0184,Operations,Junior,Client Entertainment,1084.47,910.94,15,3.1,6,1,India,0,173.53,0.84
E0185,IT,Junior,Travel,1122.63,1077.1,13,2.9,6,1,UK,1,45.53,0.96
E0186,Sales,Mid,Client Entertainment,1562.84,1137.96,13,3.6,12,1,USA,0,424.88,0.73
E0187,Sales,Junior,Stay,1087.61,974.41,15,2.4,8,1,USA,0,113.2,0.9
E0188,HR,Mid,Food,756.91,605.49,26,2.1,3,1,India,0,151.42,0.8
E0189,HR,Mid,Food,461.73,376.78,21,4.7,13,0,India,1,84.95,0.82
E0190,IT,Senior,Client Entertainment,1045.26,910.74,23,4.8,7,1,UK,0,134.52,0.87
E0191,Finance,Senior,Food,867.41,732.08,3,2.2,7,1,India,0,135.33,0.84
E0192,Operations,Senior,Client Entertainment,1323.33,1077.89,10,3.6,7,1,USA,0,245.44,0.81
E0193,Operations,Mid,Stay,1631.08,1292.63,18,3.6,13,1,UK,0,338.45,0.79
E0194,Sales,Senior,Food,588.12,520.78,24,3.1,7,1,India,0,67.34,0.89
E0195,IT,Mid,Travel,645.66,549.89,18,3.7,5,1,USA,0,95.77,0.85
E0196,IT,Junior,Client Entertainment,990.34,789.29,26,3.4,7,1,USA,1,201.05,0.8
E0197,Sales,Junior,Food,680.03,517.83,7,3.5,5,0,UK,1,162.2,0.76
E0198,Operations,Junior,Stay,911.19,849.54,9,4.3,9,1,India,0,61.65,0.93
E0199,Operations,Mid,Stay,785.53,738.33,27,3.6,13,1,USA,0,47.2,0.94
E0200,Sales,Mid,Travel,596.89,456.1,4,3.0,13,1,India,0,140.79,0.76
E0201,Sales,Senior,Stay,1330.35,1035.67,15,3.7,1,1,Singapore,0,294.68,0.78
E0202,Finance,Junior,Stay,1030.11,794.98,24,3.9,12,1,India,0,235.13,0.77
E0203,Finance,Junior,Food,1732.15,1672.16,2,4.0,14,1,UAE,0,59.99,0.97
E0204,Operations,Executive,Client Entertainment,1143.6,1066.11,25,3.9,2,1,USA,0,77.49,0.93
E0205,Sales,Junior,Supplies,1515.41,1094.69,9,4.0,5,1,Singapore,0,420.72,0.72
E0206,Finance,Mid,Stay,708.48,672.92,23,2.9,6,1,USA,1,35.56,0.95
E0207,Finance,Mid,Stay,703.52,500.24,29,3.3,13,1,India,0,203.28,0.71
E0208,Sales,Mid,Supplies,1888.35,1465.28,28,4.0,3,0,UAE,0,423.07,0.78
E0209,Finance,Junior,Stay,756.43,738.05,12,4.3,0,1,India,1,18.38,0.98
E0210,Finance,Junior,Food,620.34,595.09,6,3.3,3,0,India,1,25.25,0.96
E0211,HR,Junior,Food,531.5,496.65,11,3.1,5,1,India,1,34.85,0.93
E0212,Sales,Mid,Supplies,1766.3,1478.86,22,4.1,7,1,UAE,1,287.44,0.84
E0213,Sales,Mid,Stay,890.12,708.91,13,2.7,12,1,USA,1,181.21,0.8
E0214,IT,Junior,Stay,1161.36,1120.09,26,2.0,11,1,USA,1,41.27,0.96
E0215,Sales,Mid,Client Entertainment,1060.56,951.45,9,3.4,12,1,UK,0,109.11,0.9
E0216,IT,Senior,Stay,710.64,560.45,8,2.5,12,1,USA,0,150.19,0.79
E0217,IT,Junior,Food,881.48,739.52,11,3.1,13,1,UK,0,141.96,0.84
E0218,Sales,Mid,Travel,1338.27,1290.7,23,2.9,12,1,India,1,47.57,0.96
E0219,Sales,Mid,Travel,509.66,494.9,2,4.3,3,1,Singapore,0,14.76,0.97
E0220,Sales,Junior,Travel,1269.67,1139.9,29,3.0,9,1,India,0,129.77,0.9
E0221,Sales,Junior,Travel,1573.62,1447.36,12,3.9,0,1,India,0,126.26,0.92
E0222,HR,Mid,Stay,1116.95,795.03,5,4.0,4,1,USA,0,321.92,0.71
E0223,Finance,Senior,Stay,1533.36,1351.47,26,3.4,6,1,USA,0,181.89,0.88
E0224,IT,Senior,Client Entertainment,451.43,409.31,5,2.2,5,1,USA,0,42.12,0.91
E0225,IT,Mid,Stay,267.98,189.23,20,4.1,2,1,India,0,78.75,0.71
E0226,IT,Senior,Travel,1097.06,1045.67,18,2.2,12,0,India,1,51.39,0.95
E0227,Operations,Mid,Supplies,765.46,748.99,24,2.3,6,1,USA,0,16.47,0.98
E0228,IT,Mid,Supplies,1351.51,1042.53,6,2.6,3,1,USA,0,308.98,0.77
E0229,Operations,Mid,Food,875.82,835.31,3,2.8,4,1,India,0,40.51,0.95
E0230,Sales,Junior,Food,1058.88,952.62,21,4.5,10,1,USA,1,106.26,0.9
E0231,Sales,Senior,Stay,1032.39,902.53,4,4.0,6,1,India,1,129.86,0.87
E0232,HR,Mid,Supplies,1045.15,995.97,0,3.2,1,0,India,1,49.18,0.95
E0233,HR,Mid,Travel,782.94,615.14,17,4.9,3,1,India,0,167.8,0.79
E0234,HR,Executive,Travel,454.14,425.65,16,2.7,3,1,UAE,0,28.49,0.94
E0235,Finance,Junior,Travel,912.32,724.71,8,3.8,5,1,UK,0,187.61,0.79
E0236,Sales,Junior,Stay,1580.02,1479.27,8,4.5,11,1,India,0,100.75,0.94
E0237,IT,Junior,Stay,756.47,631.89,20,4.4,10,1,USA,1,124.58,0.84
E0238,Finance,Senior,Client Entertainment,754.26,554.45,23,2.3,6,0,Singapore,1,199.81,0.74
E0239,Sales,Senior,Travel,1063.06,865.81,9,4.1,3,1,USA,0,197.25,0.81
E0240,Finance,Junior,Travel,529.16,407.48,19,2.8,9,0,Singapore,1,121.68,0.77
E0241,Operations,Mid,Stay,1401.4,1023.24,16,3.1,0,1,India,0,378.16,0.73
E0242,Operations,Mid,Stay,567.31,415.88,12,3.5,0,1,Singapore,0,151.43,0.73
E0243,Operations,Senior,Client Entertainment,884.28,825.94,28,4.4,4,1,USA,0,58.34,0.93
E0244,IT,Mid,Client Entertainment,2015.56,1943.85,3,2.5,0,1,India,0,71.71,0.96
E0245,Finance,Mid,Food,542.97,531.1,22,2.3,2,1,USA,1,11.87,0.98
E0246,Operations,Executive,Supplies,1588.95,1519.33,26,2.5,8,1,UAE,1,69.62,0.96
E0247,IT,Junior,Travel,1048.5,995.1,17,2.7,2,1,UK,0,53.4,0.95
E0248,Operations,Junior,Travel,1104.93,796.27,17,2.2,2,1,USA,0,308.66,0.72
E0249,Operations,Mid,Client Entertainment,676.26,633.68,21,4.8,12,1,India,1,42.58,0.94
E0250,Operations,Executive,Client Entertainment,1319.5,1233.71,8,3.0,8,1,USA,0,85.79,0.93
E0251,IT,Mid,Food,853.63,631.16,2,2.5,4,1,India,0,222.47,0.74
E0252,IT,Junior,Supplies,540.89,486.04,6,3.9,11,1,India,1,54.85,0.9
E0253,Operations,Junior,Food,1582.26,1322.38,25,4.4,7,0,USA,0,259.88,0.84
E0254,IT,Mid,Supplies,845.66,820.29,14,4.3,9,1,Singapore,0,25.37,0.97
E0255,Finance,Junior,Travel,256.25,232.83,29,4.2,14,0,UK,1,23.42,0.91
E0256,HR,Mid,Food,892.52,879.39,8,2.2,8,1,India,1,13.13,0.99
E0257,Operations,Executive,Client Entertainment,1323.23,967.91,26,4.3,11,1,USA,0,355.32,0.73
E0258,Sales,Mid,Food,1259.34,896.88,28,3.5,5,1,UAE,0,362.46,0.71
E0259,HR,Mid,Food,743.65,737.75,8,3.9,6,1,UK,0,5.9,0.99
E0260,Finance,Mid,Travel,609.01,440.96,26,4.9,6,0,UK,1,168.05,0.72
E0261,Sales,Junior,Client Entertainment,453.53,370.02,3,4.4,6,1,UAE,1,83.51,0.82
E0262,Operations,Senior,Client Entertainment,990.89,886.84,17,4.5,3,1,UK,0,104.05,0.89
E0263,Finance,Mid,Stay,1060.4,1022.24,16,2.5,12,1,India,0,38.16,0.96
E0264,HR,Mid,Stay,1283.58,996.54,21,3.4,12,1,India,0,287.04,0.78
E0265,Operations,Mid,Stay,940.39,666.47,20,4.8,14,1,UAE,0,273.92,0.71
E0266,Sales,Mid,Travel,928.53,795.18,5,3.7,14,1,USA,0,133.35,0.86
E0267,Sales,Mid,Food,888.6,747.61,6,2.3,1,1,India,1,140.99,0.84
E0268,Sales,Junior,Client Entertainment,1061.08,840.45,24,4.2,1,1,USA,0,220.63,0.79
E0269,IT,Senior,Client Entertainment,946.53,910.73,9,2.1,6,1,UK,0,35.8,0.96
E0270,IT,Executive,Food,1375.63,1272.18,9,4.2,9,1,UAE,0,103.45,0.92
E0271,Sales,Mid,Client Entertainment,1124.34,1076.48,26,4.6,6,1,India,1,47.86,0.96
E0272,Sales,Executive,Food,1043.2,780.88,5,3.3,9,1,USA,0,262.32,0.75
E0273,Operations,Junior,Travel,983.31,892.57,5,3.2,6,1,Singapore,0,90.74,0.91
E0274,Operations,Mid,Travel,623.27,618.61,28,2.9,12,1,India,1,4.66,0.99
E0275,HR,Mid,Travel,999.74,883.34,18,4.6,7,1,India,0,116.4,0.88
E0276,HR,Mid,Food,741.39,557.09,28,3.6,2,1,UAE,0,184.3,0.75
E0277,Sales,Mid,Food,1138.62,1137.18,7,3.7,12,1,USA,1,1.44,1.0
E0278,Sales,Junior,Supplies,916.46,786.78,8,4.0,10,1,USA,1,129.68,0.86
E0279,Sales,Junior,Client Entertainment,1665.73,1585.8,0,2.9,4,1,USA,1,79.93,0.95
E0280,Sales,Mid,Client Entertainment,495.22,368.84,15,3.3,5,1,India,1,126.38,0.74
E0281,Operations,Junior,Supplies,100.0,89.98,5,4.2,12,0,UAE,0,10.02,0.9
E0282,IT,Senior,Supplies,1107.07,1078.04,22,5.0,7,1,India,0,29.03,0.97
E0283,IT,Junior,Travel,742.7,638.43,26,2.1,7,1,India,0,104.27,0.86
E0284,Finance,Junior,Supplies,1064.42,837.27,7,2.1,9,1,India,0,227.15,0.79
E0285,HR,Mid,Food,505.74,373.35,14,3.3,2,1,India,0,132.39,0.74
E0286,Finance,Mid,Stay,1763.58,1391.09,11,4.0,11,1,Singapore,0,372.49,0.79
E0287,HR,Senior,Food,845.4,681.78,9,3.2,13,1,UK,0,163.62,0.81
